ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Player_Favorite;Player_Not_Favorite;Favorite_Wins;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;Semifinals;3,0;Lapentti N.;Corretja A.;0;Corretja A.;Lapentti N.;26,0;8,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;Quarterfinals;3,0;Philippoussis M.;Schalken S.;1;Philippoussis M.;Schalken S.;35,0;64,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;Quarterfinals;3,0;Lapentti N.;Arazi H.;1;Lapentti N.;Arazi H.;8,0;34,0;6,0;2,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;Quarterfinals;3,0;Norman M.;Corretja A.;0;Corretja A.;Norman M.;26,0;5,0;4,0;6,0;6,0;2,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;Quarterfinals;3,0;Sampras P.;Enqvist T.;0;Enqvist T.;Sampras P.;10,0;2,0;6,0;3,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Arazi H.;Mirnyi M.;1;Arazi H.;Mirnyi M.;34,0;68,0;7,0;5,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Kafelnikov Y.;Schalken S.;0;Schalken S.;Kafelnikov Y.;64,0;3,0;7,0;5,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Corretja A.;Santoro F.;1;Corretja A.;Santoro F.;26,0;33,0;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Lapentti N.;Escude N.;1;Lapentti N.;Escude N.;8,0;30,0;3,0;6,0;6,0;4,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Enqvist T.;Zabaleta M.;1;Enqvist T.;Zabaleta M.;10,0;28,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
