ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
19,Miami,NASDAQ-100 Open,31/03/04,Masters,Outdoor,Hard,4th Round,3,Roddick A.,Canas G.,3,97,6,3,6,3,,,,,,,2,0,Completed,1.25,3.75,1.3,3.65,1.26,3.59,1.2,3.6,1.301,3.86
19,Miami,NASDAQ-100 Open,31/03/04,Masters,Outdoor,Hard,4th Round,3,Moya C.,Robredo T.,6,20,6,3,6,3,,,,,,,2,0,Completed,1.4,2.75,1.33,3.45,1.35,3.1,1.3,2.9,1.345,3.5
19,Miami,NASDAQ-100 Open,31/03/04,Masters,Outdoor,Hard,4th Round,3,Spadea V.,Srichaphan P.,36,10,5,7,6,3,6,2,,,,,2,1,Completed,1.72,2,1.73,2.15,1.7,2.1,1.75,1.85,1.735,2.2
19,Miami,NASDAQ-100 Open,31/03/04,Masters,Outdoor,Hard,Quarterfinals,3,Coria G.,Kiefer N.,4,44,6,3,6,3,,,,,,,2,0,Completed,1.44,2.62,1.55,2.5,1.6,2.25,1.45,2.35,1.588,2.52
19,Miami,NASDAQ-100 Open,01/04/04,Masters,Outdoor,Hard,Quarterfinals,3,Gonzalez F.,Pavel A.,22,50,6,7,6,3,6,4,,,,,2,1,Completed,1.66,2.1,1.67,2.25,1.7,2.1,1.6,2,1.699,2.27
19,Miami,NASDAQ-100 Open,01/04/04,Masters,Outdoor,Hard,Quarterfinals,3,Roddick A.,Moya C.,3,6,5,7,6,2,7,5,,,,,2,1,Completed,1.4,2.75,1.42,2.95,1.4,2.85,1.35,2.7,1.426,3.05
19,Miami,NASDAQ-100 Open,02/04/04,Masters,Outdoor,Hard,Quarterfinals,3,Spadea V.,Calleri A.,36,21,7,5,6,1,,,,,,,2,0,Completed,2,1.72,2.1,1.75,2.1,1.7,1.9,1.7,2.35,1.645
19,Miami,NASDAQ-100 Open,02/04/04,Masters,Outdoor,Hard,Semifinals,3,Coria G.,Gonzalez F.,4,22,4,6,7,6,6,1,,,,,2,1,Completed,1.53,2.5,1.48,2.7,1.65,2.2,1.55,2.1,1.568,2.6
19,Miami,NASDAQ-100 Open,03/04/04,Masters,Outdoor,Hard,Semifinals,3,Roddick A.,Spadea V.,3,36,6,1,6,3,,,,,,,2,0,Completed,1.25,4,1.25,4.1,1.25,3.75,1.25,3.2,1.278,4.15
19,Miami,NASDAQ-100 Open,04/04/04,Masters,Outdoor,Hard,The Final,5,Roddick A.,Coria G.,3,4,6,7,6,3,6,1,,,,,2,1,Retired,1.36,3.25,1.42,2.9,1.35,3.1,1.35,2.7,1.4,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
