ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Almagro N.,Gonzalez F.,21,11,1270,1440,,,,,,,,,,,,,Walkover,1.57,2.25,1.58,2.28,1.571,2.25,1.625,2.5,1.57,2.34
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Blake J.,Verdasco F.,8,28,1965,1050,5,7,7,5,6,2,,,,,2,1,Completed,2.5,1.5,2.35,1.55,2.25,1.571,2.87,1.483,2.34,1.57
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Federer R.,Karlovic I.,1,22,6775,1280,7,6,6,3,,,,,,,2,0,Completed,1.03,11,1.07,7.48,1.05,8.5,1.069,12.5,1.06,9
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Roddick A.,Bolelli S.,6,55,2260,601,7,6,6,3,,,,,,,2,0,Completed,1.83,1.83,1.67,2.11,1.727,2,1.885,2.03,1.88,1.88
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Wawrinka S.,Ferrero J.C.,24,23,1090,1240,6,4,6,3,,,,,,,2,0,Completed,2,1.72,1.95,1.8,2,1.727,2.12,1.82,1.88,1.88
27,Rome,Internazionali BNL d'Italia,08/05/08,Masters,Outdoor,Clay,3rd Round,3,Robredo T.,Davydenko N.,16,4,1415,3440,4,6,6,2,7,6,,,,,2,1,Completed,3.25,1.33,3.22,1.32,3.4,1.3,3.65,1.351,3.4,1.3
27,Rome,Internazionali BNL d'Italia,09/05/08,Masters,Outdoor,Clay,Quarterfinals,3,Wawrinka S.,Blake J.,24,8,1090,1965,6,7,7,6,6,1,,,,,2,1,Completed,1.36,3.2,1.32,3.22,1.364,3,1.333,3.7,1.32,3.3
27,Rome,Internazionali BNL d'Italia,09/05/08,Masters,Outdoor,Clay,Quarterfinals,3,Stepanek R.,Federer R.,27,1,1060,6775,7,6,7,6,,,,,,,2,0,Completed,9,1.06,9.25,1.04,8,1.063,9.25,1.098,8,1.07
27,Rome,Internazionali BNL d'Italia,09/05/08,Masters,Outdoor,Clay,Quarterfinals,3,Roddick A.,Robredo T.,6,16,2260,1415,6,3,4,6,7,6,,,,,2,1,Completed,2.2,1.66,2.1,1.7,2.1,1.667,2.18,1.781,2.2,1.65
27,Rome,Internazionali BNL d'Italia,09/05/08,Masters,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Almagro N.,3,21,4935,1270,6,1,1,0,,,,,,,1,0,Retired,1.39,2.87,1.53,2.4,1.533,2.375,1.483,2.87,1.49,2.54
27,Rome,Internazionali BNL d'Italia,10/05/08,Masters,Outdoor,Clay,Semifinals,3,Wawrinka S.,Roddick A.,24,6,1090,2260,3,0,,,,,,,,,0,0,Retired,1.72,2.1,1.7,2.1,1.667,2.1,1.752,2.23,1.75,2.03
27,Rome,Internazionali BNL d'Italia,10/05/08,Masters,Outdoor,Clay,Semifinals,3,Djokovic N.,Stepanek R.,3,27,4935,1060,6,0,1,0,,,,,,,1,0,Retired,1.19,4.5,1.2,4.25,1.2,4.333,1.27,4.4,1.23,4
27,Rome,Internazionali BNL d'Italia,11/05/08,Masters,Outdoor,Clay,The Final,3,Djokovic N.,Wawrinka S.,3,24,4935,1090,4,6,6,3,6,3,,,,,2,1,Completed,1.25,4,1.25,3.75,1.286,3.5,1.299,4.05,1.25,3.8
