ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Koubek S.,Gonzalez F.,42,43,4,6,7,6,6,3,,,,,2,1,Completed,1.833,1.833,1.95,1.8,1.75,1.88,1.7,1.8,1.833,1.833
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Lapentti N.,Gaudio G.,28,21,7,6,7,6,,,,,,,2,0,Completed,1.833,1.833,2,1.75,1.95,1.82,1.9,1.6,1.833,1.833
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Lee H.T.,Clement A.,94,37,6,3,6,3,,,,,,,2,0,Completed,2.625,1.444,2.5,1.5,2.75,1.35,2.3,1.4,2.75,1.4
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Mantilla F.,Hewitt L.,55,1,2,6,6,4,6,3,,,,,2,1,Completed,6.5,1.1,8,1.07,6,1.11,4.5,1.1,6,1.111
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Martin T.,Rusedski G.,47,39,3,6,7,6,7,5,,,,,2,1,Completed,1.727,2,1.75,2,1.73,1.92,1.65,1.85,1.727,2
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Moya C.,Boutter J.,16,51,7,6,6,4,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,1.45,2.5,1.35,2.5,1.5,2.5
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Nalbandian D.,Saulnier C.,14,156,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.8,1.41,2.85,1.3,2.7,1.4,2.75
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Nieminen J.,Krajicek R.,38,153,7,5,6,1,,,,,,,2,0,Completed,2.375,1.533,2.55,1.48,2.2,1.58,2.1,1.5,2.375,1.533
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Novak J.,Malisse X.,13,24,6,3,6,3,,,,,,,2,0,Completed,1.8,1.909,2,1.75,1.89,1.88,1.65,1.85,1.8,1.909
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Kuerten G.,17,20,7,5,,,,,,,,,1,0,Retired,2.625,1.444,2.7,1.43,2.32,1.48,2.3,1.4,2.625,1.444
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Pless K.,Nestor D.,88,651,6,3,4,6,6,2,,,,,2,1,Completed,1.571,2.25,1.5,2.45,,,1.6,1.9,,
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Rios M.,Carlsen K.,27,109,7,6,7,6,,,,,,,2,0,Completed,,,,,,,,,,
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Schuettler R.,34,26,6,3,3,6,7,6,,,,,2,1,Completed,2,1.727,2.15,1.65,1.81,1.81,1.75,1.75,2,1.727
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Roddick A.,Hrbaty D.,12,53,6,2,6,4,,,,,,,2,0,Completed,1.143,5,1.18,4.5,1.22,3.75,1.2,3.3,1.167,4.5
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Safin M.,Chela J.I.,2,25,6,4,6,3,,,,,,,2,0,Completed,1.333,3.25,1.4,2.8,1.37,2.75,1.35,2.5,1.364,2.875
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Sampras P.,Ferreira W.,15,45,7,6,5,7,6,4,,,,,2,1,Completed,1.571,2.25,1.6,2.25,1.64,2.25,1.5,2.1,1.615,2.2
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Dancevic F.,40,625,7,5,6,3,,,,,,,2,0,Completed,1.143,5,1.15,5,1.17,4,1.1,4.5,1.167,4.5
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Schalken S.,Black W.,22,271,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Spadea V.,Costa A.,74,7,6,3,6,1,,,,,,,2,0,Completed,2.375,1.533,2.25,1.6,2.3,1.5,2.1,1.5,,
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Srichaphan P.,Kratochvil M.,60,36,6,3,6,7,7,6,,,,,2,1,Completed,2,1.727,1.85,1.9,1.87,1.76,1.8,1.7,1.9,1.8
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Stepanek R.,Kim A.,85,116,6,2,2,6,6,3,,,,,2,1,Completed,1.571,2.25,1.65,2.15,1.6,2.2,1.5,2.1,,
