ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Murray A.,Monfils G.,4,18,5305,2025,6,2,0,6,6,3,,,,,2,1,Completed,1.22,4,1.25,3.75,1.2,4.33,1.25,4.55,1.2,4,1.28,4.8,1.23,4.07
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Hanescu V.,2,54,6905,870,6,3,6,4,,,,,,,2,0,Completed,1.16,4.5,1.22,4,1.14,5,1.22,5.08,1.2,4,1.22,5.5,1.18,4.68
46,Toronto,Rogers Masters,12/08/10,Masters 1000,Outdoor,Hard,3rd Round,3,Nadal R.,Anderson K.,1,87,10745,607,6,2,7,6,,,,,,,2,0,Completed,1.08,7,1.07,7.5,1.06,8,1.08,10.75,1.07,7,1.08,11.5,1.06,8.44
46,Toronto,Rogers Masters,13/08/10,Masters 1000,Outdoor,Hard,Quarterfinals,3,Murray A.,Nalbandian D.,4,45,5305,965,6,2,6,2,,,,,,,2,0,Completed,1.9,1.8,2,1.75,2,1.73,1.97,1.95,2,1.8,2.1,1.95,1.96,1.8
46,Toronto,Rogers Masters,13/08/10,Masters 1000,Outdoor,Hard,Quarterfinals,3,Nadal R.,Kohlschreiber P.,1,37,10745,1100,3,6,6,3,6,4,,,,,2,1,Completed,1.05,9,1.07,7.5,1.05,8.5,1.07,11.25,1.05,9,1.08,12.5,1.06,8.5
46,Toronto,Rogers Masters,13/08/10,Masters 1000,Outdoor,Hard,Quarterfinals,3,Federer R.,Berdych T.,3,7,6795,3780,6,3,5,7,7,6,,,,,2,1,Completed,1.38,2.87,1.5,2.5,1.4,2.75,1.49,2.89,1.36,3,1.5,3,1.42,2.8
46,Toronto,Rogers Masters,14/08/10,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Chardy J.,2,72,6905,695,6,2,6,3,,,,,,,2,0,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.23,4.91,1.25,3.75,1.26,4.91,1.23,4.12
46,Toronto,Rogers Masters,14/08/10,Masters 1000,Outdoor,Hard,Semifinals,3,Murray A.,Nadal R.,4,1,5305,10745,6,3,6,4,,,,,,,2,0,Completed,2.25,1.61,2.25,1.6,2.2,1.62,2.32,1.7,2.2,1.67,2.45,1.7,2.24,1.63
46,Toronto,Rogers Masters,15/08/10,Masters 1000,Outdoor,Hard,Semifinals,3,Federer R.,Djokovic N.,3,2,6795,6905,6,1,3,6,7,5,,,,,2,1,Completed,1.61,2.25,1.65,2.15,1.67,2.1,1.66,2.39,1.62,2.25,2.5,1.73,2.23,1.63
46,Toronto,Rogers Masters,15/08/10,Masters 1000,Outdoor,Hard,The Final,3,Murray A.,Federer R.,4,3,5305,6795,7,5,7,5,,,,,,,2,0,Completed,1.8,2,1.8,1.95,1.73,2,1.84,2.1,1.8,2,1.87,2.11,1.8,1.98
