ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Gaudio G.,Sanchez D.,29,53,6,7,6,3,6,1,,,,,2,1,Completed,1.25,3.75,1.2,4.2,1.2,3.3,1.364,2.875,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Henman T.,Grosjean S.,27,15,6,0,3,6,6,2,,,,,2,1,Completed,3,1.364,3.25,1.31,2.7,1.3,3,1.333,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Hewitt L.,Clement A.,1,37,6,7,6,4,7,6,,,,,2,1,Completed,1.222,4,1.2,4.25,1.2,3.3,1.143,5,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Nalbandian D.,Dupuis A.,13,88,5,7,6,2,6,3,,,,,2,1,Completed,1.286,3.5,1.35,3.05,1.25,3,1.333,3,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Rochus O.,Costa A.,65,8,3,6,6,3,7,6,,,,,2,1,Completed,3.75,1.25,3.7,1.25,3,1.25,4,1.2,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Schuettler P.,Burgsmuller L.,11,98,6,4,4,6,6,4,,,,,2,1,Completed,1.222,4,1.2,4.25,1.15,3.8,1.222,3.75,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Youzhny M.,Beck K.,32,76,6,7,6,4,6,2,,,,,2,1,Completed,1.333,3.25,1.33,3.15,1.25,3,1.364,2.875,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Zabaleta M.,Robredo T.,38,22,3,6,6,3,6,1,,,,,2,1,Completed,2.375,1.533,2.55,1.48,2.2,1.45,2.5,1.5,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Calleri A.,Zabaleta M.,31,38,6,3,6,0,,,,,,,2,0,Completed,1.571,2.25,1.6,2.25,1.6,1.9,1.615,2.2,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Coria G.,Youzhny M.,16,32,6,3,6,3,,,,,,,2,0,Completed,1.286,3.5,1.25,3.75,1.25,3,,,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Ferreira W.,Kuerten G.,26,14,7,6,6,4,,,,,,,2,0,Completed,4,1.222,4.35,1.2,3.8,1.15,4.5,1.167,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Gaudio G.,Nadal R.,29,87,6,2,6,2,,,,,,,2,0,Completed,1.4,2.75,1.36,3,1.35,2.5,1.364,2.875,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Nalbandian D.,Schuettler P.,13,11,7,6,6,2,,,,,,,2,0,Completed,1.727,2,1.75,2,1.6,1.9,1.667,2.1,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Rochus O.,Henman T.,65,27,6,4,6,3,,,,,,,2,0,Completed,2.375,1.533,2.25,1.6,2,1.55,2.25,1.571,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Gonzalez F.,Hewitt L.,23,1,6,1,3,6,6,0,,,,,2,1,Completed,2.625,1.444,2.4,1.52,2.3,1.4,2.5,1.5,,
29,Hamburg,Hamburg TMS,15/05/03,Masters,Outdoor,Clay,3rd Round,3,Philippoussis M.,Federer R.,67,5,6,3,2,6,6,3,,,,,2,1,Completed,3.75,1.25,3.45,1.28,3,1.25,3.75,1.222,,
29,Hamburg,Hamburg TMS,16/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Calleri A.,Ferreira W.,31,26,7,5,6,2,,,,,,,2,0,Completed,1.4,2.75,1.42,2.75,1.4,2.3,1.444,2.625,,
29,Hamburg,Hamburg TMS,16/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Coria G.,Philippoussis M.,16,67,6,2,6,0,,,,,,,2,0,Completed,1.444,2.625,1.42,2.75,1.45,2.2,1.444,2.625,,
29,Hamburg,Hamburg TMS,16/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Gaudio G.,Rochus O.,29,65,6,1,6,1,,,,,,,2,0,Completed,1.2,4.333,1.2,4.3,1.15,3.8,1.167,4.5,,
29,Hamburg,Hamburg TMS,16/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Nalbandian D.,Gonzalez F.,13,23,5,7,6,3,6,4,,,,,2,1,Completed,1.8,1.909,2,1.75,1.7,1.8,1.909,1.8,,
29,Hamburg,Hamburg TMS,17/05/03,Masters,Outdoor,Clay,Semifinals,3,Calleri A.,Nalbandian D.,31,13,6,4,6,1,,,,,,,2,0,Completed,1.833,1.833,1.85,1.92,1.65,1.85,1.833,1.833,,
29,Hamburg,Hamburg TMS,17/05/03,Masters,Outdoor,Clay,Semifinals,3,Coria G.,Gaudio G.,16,29,6,3,6,7,6,0,,,,,2,1,Completed,1.833,1.833,2,1.78,1.75,1.75,1.833,1.833,,
29,Hamburg,Hamburg TMS,18/05/03,Masters,Outdoor,Clay,The Final,5,Coria G.,Calleri A.,16,31,6,3,6,4,6,4,,,,,3,0,Completed,1.667,2.1,1.75,2.05,1.5,2.1,1.667,2.1,,
