ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,,
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Seppi A.,Canas G.,113,10,,,7,6,6,2,,,,,,,2,0,Completed,4.5,1.16,4.65,1.18,4.25,1.2,3.6,1.2,6.45,1.14
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Volandri F.,Lopez F.,31,26,,,6,4,2,6,6,2,,,,,2,1,Completed,1.53,2.37,1.57,2.35,1.53,2.4,1.6,2,1.538,2.66
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Safin M.,39,4,,,4,6,6,4,6,2,,,,,2,1,Completed,2,1.72,1.93,1.83,2,1.75,1.85,1.75,2.14,1.746
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Grosjean S.,Kiefer N.,27,29,,,2,6,6,3,6,4,,,,,2,1,Completed,1.44,2.62,1.5,2.55,1.55,2.35,1.45,2.35,1.617,2.42
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Gasquet R.,Hrbaty D.,56,18,,,6,1,6,2,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.5,2.45,1.45,2.35,1.556,2.6
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Chela J.I.,Henman T.,40,9,,,3,6,6,4,6,2,,,,,2,1,Completed,2.25,1.57,2.45,1.53,2.28,1.58,2,1.6,2.7,1.526
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Coria G.,Ancic M.,8,21,,,6,4,6,3,,,,,,,2,0,Completed,1.08,7,1.08,7.25,1.1,6.25,1.1,5,1.108,7.95
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Davydenko N.,Ferrero J.C.,20,39,,,3,6,6,2,6,1,,,,,2,1,Completed,4,1.22,4.1,1.22,3.35,1.3,2.9,1.3,3.95,1.29
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Seppi A.,Novak J.,113,28,,,6,3,6,4,,,,,,,2,0,Completed,2.62,1.44,2.45,1.53,2.45,1.5,2.35,1.45,1.794,2.06
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Federer R.,Robredo T.,1,16,,,6,2,6,3,,,,,,,2,0,Completed,1.06,8,1.07,8,1.1,6.75,1.1,5,1.08,10.25
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Volandri F.,Grosjean S.,31,27,,,6,3,6,4,,,,,,,2,0,Completed,1.61,2.2,1.57,2.35,1.65,2.15,1.55,2.1,1.935,1.885
29,Hamburg,Hamburg TMS,12/05/05,Masters,Outdoor,Clay,3rd Round,3,Rochus C.,Gaudio G.,68,6,,,2,6,7,5,6,3,,,,,2,1,Completed,7.5,1.07,7.25,1.08,6.75,1.1,5,1.1,,
29,Hamburg,Hamburg TMS,13/05/05,Masters,Outdoor,Clay,Quarterfinals,3,Davydenko N.,Volandri F.,20,31,,,7,6,6,4,,,,,,,2,0,Completed,1.66,2.1,1.83,1.93,1.8,1.95,1.6,2,1.752,2.23
29,Hamburg,Hamburg TMS,13/05/05,Masters,Outdoor,Clay,Quarterfinals,3,Federer R.,Coria G.,1,8,,,6,4,7,6,,,,,,,2,0,Completed,1.36,3,1.42,2.85,1.45,2.6,1.5,2.2,1.429,3.13
29,Hamburg,Hamburg TMS,13/05/05,Masters,Outdoor,Clay,Quarterfinals,3,Rochus C.,Chela J.I.,68,40,,,3,6,6,0,6,3,,,,,2,1,Completed,2.5,1.5,2.65,1.45,2.6,1.45,2.35,1.45,2.68,1.552
29,Hamburg,Hamburg TMS,13/05/05,Masters,Outdoor,Clay,Quarterfinals,3,Gasquet R.,Seppi A.,56,113,,,6,1,6,2,,,,,,,2,0,Completed,1.16,4.5,1.17,4.85,1.2,4.25,1.2,3.6,1.215,5.25
29,Hamburg,Hamburg TMS,14/05/05,Masters,Outdoor,Clay,Semifinals,3,Federer R.,Davydenko N.,1,20,,,6,3,6,4,,,,,,,2,0,Completed,1.05,8.5,1.05,9,1.07,7.19,1.05,6,,
29,Hamburg,Hamburg TMS,14/05/05,Masters,Outdoor,Clay,Semifinals,3,Gasquet R.,Rochus C.,56,68,,,6,1,6,1,,,,,,,2,0,Completed,1.11,6,1.14,5.4,1.15,5.2,1.15,4,1.138,6.65
29,Hamburg,Hamburg TMS,15/05/05,Masters,Outdoor,Clay,The Final,5,Federer R.,Gasquet R.,1,56,,,6,3,7,5,7,6,,,,,3,0,Completed,1.25,4,1.22,4.25,1.3,3.66,1.25,3.2,,
