ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Ferrer D.,Hrbaty D.,57,35,6,0,6,3,,,,,,,2,0,Completed,1.667,2.1,1.7,2.1,1.75,2,1.75,1.75,1.645,2.35
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Robredo T.,Zabaleta M.,19,28,6,4,6,2,,,,,,,2,0,Completed,1.727,2,1.65,2.2,1.75,2.05,1.55,2,1.69,2.25
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Gonzalez F.,Knowle J.,14,242,0,6,6,4,6,2,,,,,2,1,Completed,1.111,6,1.12,6,1.15,5.2,1.15,3.8,1.154,6
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Hewitt L.,Haas T.,17,123,6,4,7,5,,,,,,,2,0,Completed,2.1,1.667,2.15,1.67,2.15,1.65,2,1.55,2.39,1.629
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Costa A.,Rochus O.,31,63,7,5,6,4,,,,,,,2,0,Completed,1.364,3,1.4,2.85,1.43,2.71,1.4,2.3,1.408,3.1
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Ljubicic I.,Hanescu V.,40,74,6,0,3,6,7,6,,,,,2,1,Completed,1.667,2.1,1.67,2.15,1.75,2,1.6,1.9,1.769,2.1
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Youzhny M.,Burgsmuller L.,44,89,7,5,7,5,,,,,,,2,0,Completed,1.4,2.75,1.28,3.5,1.35,3.1,1.25,3,1.364,3.35
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Pavel A.,Henman T.,22,9,6,2,6,2,,,,,,,2,0,Completed,1.615,2.2,1.55,2.4,1.5,2.45,1.55,2,1.556,2.6
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Moya C.,Martin A.,8,59,6,2,6,3,,,,,,,2,0,Completed,1.222,4,1.28,3.55,2.7,1.4,1.25,3,1.244,4.45
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Mayer F.,Portas A.,90,118,6,3,6,4,,,,,,,2,0,Completed,1.533,2.375,1.45,2.7,1.5,2.45,1.55,2,1.513,2.72
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Verdasco F.,Johansson J.,52,50,7,6,6,1,,,,,,,2,0,Completed,1.286,3.5,1.22,4.15,1.3,3.35,1.2,3.3,1.25,4.35
27,Hamburg,Hamburg TMS,12/05/04,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Lapentti N.,1,67,6,3,6,3,,,,,,,2,0,Completed,1.083,7,1.14,5.4,1.1,6.25,1.1,4.5,1.125,7.25
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Melzer J.,Safin M.,68,21,6,4,6,4,,,,,,,2,0,Completed,3.25,1.333,3.2,1.35,3.1,1.35,2.5,1.35,3.45,1.351
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Ferrer D.,Costa A.,57,31,5,7,6,4,6,3,,,,,2,1,Completed,2.2,1.615,2.3,1.62,2.25,1.6,2,1.55,2.25,1.69
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Youzhny M.,Mayer F.,44,90,6,0,7,6,,,,,,,2,0,Completed,1.8,1.909,1.8,2,1.7,2.1,1.65,1.85,1.787,2.07
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Ljubicic I.,Pavel A.,40,22,4,6,6,4,6,3,,,,,2,1,Completed,2.625,1.444,2.85,1.4,2.75,1.42,2.5,1.35,3.3,1.37
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Federer R.,Gonzalez F.,1,14,7,5,6,1,,,,,,,2,0,Completed,1.25,3.75,1.33,3.3,1.25,3.75,1.15,3.8,1.308,3.75
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Hewitt L.,Saretta F.,17,55,6,4,2,6,6,4,,,,,2,1,Completed,1.286,3.5,1.36,3.15,1.4,2.85,1.25,3,1.377,3.3
