ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;Unnamed: 34;Unnamed: 35;EXW;EXL;PSW;PSL;Unnamed: 36;Unnamed: 37;WPts;LPts;UBW;UBL;LBW;LBL
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Ferrero J.C.;Moya C.;16,0;34,0;3,0;6,0;6,0;2,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Sampras P.;Woodruff C.;2,0;36,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Enqvist T.;Kucera K.;8,0;37,0;6,0;3,0;4,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Pioline C.;Novak J.;5,0;39,0;7,0;6,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Fromberg R.;Meligeni F.;63,0;40,0;7,0;5,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Corretja A.;Squillari F.;11,0;43,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Zabaleta M.;Gaudio G.;38,0;45,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Schuettler R.;Spadea V.;78,0;46,0;6,0;4,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Martin A.;Vacek D.;75,0;47,0;6,0;4,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Pavel A.;Federer R.;70,0;50,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;di Pasquale A.;Dosedel S.;54,0;51,0;7,0;5,0;1,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Mantilla F.;Sargsian S.;64,0;58,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Norman M.;Johansson T.;4,0;59,0;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
