ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Dolgopolov O.,Seppi A.,20,32,1575,1185,6,7,7,6,6,3,,,,,2,1,Completed,1.4,2.75,1.45,2.65,1.5,2.5,1.51,2.75,1.5,2.63,1.51,2.9,1.46,2.65
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Verdasco F.,Falla A.,19,56,1675,789,6,7,6,4,6,4,,,,,2,1,Completed,1.14,5.5,1.15,5,1.07,7.5,1.16,6.27,1.13,6,1.22,7.5,1.15,5.15
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Davydenko N.,2,54,9615,825,6,2,6,2,,,,,,,2,0,Completed,1.01,23,1.02,12,1.02,11,1.02,22.73,1.02,13,1.03,32.33,1.01,16.8
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Gasquet R.,Troicki V.,18,30,1735,1220,7,5,6,3,,,,,,,2,0,Completed,1.3,3.4,1.35,3,1.3,3.4,1.42,3.11,1.33,3.25,1.42,3.46,1.34,3.16
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Tsonga J.W.,Harrison R.,5,61,4885,757,6,2,7,6,,,,,,,2,0,Completed,1.14,5.5,1.15,5,1.17,4.5,1.2,5.2,1.14,5.5,1.2,5.5,1.16,5.06
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Almagro N.,Granollers M.,13,29,2255,1250,6,3,7,6,,,,,,,2,0,Completed,1.16,5,1.15,5,1.14,5,1.22,4.9,1.06,8.5,1.22,8.5,1.17,4.9
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Tipsarevic J.,Delbonis F.,8,131,2820,422,7,6,6,7,6,3,,,,,2,1,Completed,1.36,3,1.4,2.8,1.33,3.25,1.43,3.05,1.33,3.25,1.45,3.25,1.39,2.93
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Del Potro J.M.,Youzhny M.,11,34,2655,1175,6,4,7,6,,,,,,,2,0,Completed,1.08,8,1.1,6.5,1.1,6.5,1.1,8.6,1.1,7,1.1,9.52,1.09,7.19
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Raonic M.,3,23,8520,1460,4,6,7,5,7,6,,,,,2,1,Completed,1.33,3.25,1.38,2.9,1.33,3.25,1.34,3.56,1.33,3.25,1.38,3.57,1.33,3.24
29,Madrid,Mutua Madrid Open,09/05/12,Masters 1000,Outdoor,Clay,2nd Round,3,Simon G.,Garcia-Lopez G.,12,94,2500,576,6,4,6,3,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.22,4,1.33,3.64,1.22,4,1.33,4.05,1.27,3.69
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Berdych T.,Monfils G.,7,14,3990,2120,6,1,6,1,,,,,,,2,0,Completed,1.28,3.5,1.3,3.3,1.3,3.4,1.34,3.66,1.33,3.25,1.36,3.9,1.32,3.33
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Dolgopolov O.,Tsonga J.W.,20,5,1575,4885,7,5,3,6,7,6,,,,,2,1,Completed,2.37,1.53,2.35,1.55,2.5,1.5,2.56,1.59,2.75,1.44,2.75,1.63,2.4,1.55
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Verdasco F.,Nadal R.,19,2,1675,9615,6,3,3,6,7,5,,,,,2,1,Completed,17,1.02,12,1.02,13,1.02,21,1.03,15,1.01,24.23,1.03,14.9,1.02
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Del Potro J.M.,Cilic M.,11,22,2655,1505,6,2,6,4,,,,,,,2,0,Completed,1.18,4.5,1.18,4.5,1.2,4.33,1.21,5.17,1.18,4.33,1.25,5.17,1.21,4.31
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Ferrer D.,Almagro N.,6,13,4280,2255,7,6,3,6,7,6,,,,,2,1,Completed,1.25,3.75,1.3,3.3,1.29,3.5,1.34,3.62,1.2,4,1.34,4.2,1.27,3.7
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Federer R.,Gasquet R.,3,18,8520,1735,6,3,6,2,,,,,,,2,0,Completed,1.11,6.5,1.15,5,1.14,5.5,1.13,7.6,1.1,7,1.15,7.6,1.12,5.98
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Wawrinka S.,1,21,12020,1505,7,6,6,4,,,,,,,2,0,Completed,1.16,5,1.22,4,1.14,5,1.22,5.05,1.22,4,1.24,5.2,1.2,4.4
29,Madrid,Mutua Madrid Open,10/05/12,Masters 1000,Outdoor,Clay,3rd Round,3,Tipsarevic J.,Simon G.,8,12,2820,2500,7,6,5,7,6,1,,,,,2,1,Completed,2.5,1.5,2.5,1.5,2.5,1.5,2.88,1.49,2.5,1.5,2.88,1.57,2.56,1.49
29,Madrid,Mutua Madrid Open,11/05/12,Masters 1000,Outdoor,Clay,Quarterfinals,3,Del Potro J.M.,Dolgopolov O.,11,20,2655,1575,6,3,6,4,,,,,,,2,0,Completed,1.14,5.5,1.15,5,1.12,5.5,1.14,7.05,1.14,5.5,1.18,7.05,1.15,5.36
29,Madrid,Mutua Madrid Open,11/05/12,Masters 1000,Outdoor,Clay,Quarterfinals,3,Berdych T.,Verdasco F.,7,19,3990,1675,6,1,6,2,,,,,,,2,0,Completed,1.3,3.4,1.35,3,1.33,3.4,1.35,3.58,1.25,3.75,1.38,3.75,1.34,3.22
29,Madrid,Mutua Madrid Open,11/05/12,Masters 1000,Outdoor,Clay,Quarterfinals,3,Tipsarevic J.,Djokovic N.,8,1,2820,12020,7,6,6,3,,,,,,,2,0,Completed,7,1.1,6,1.11,7,1.1,7.1,1.14,7.5,1.08,7.5,1.14,6.45,1.1
29,Madrid,Mutua Madrid Open,11/05/12,Masters 1000,Outdoor,Clay,Quarterfinals,3,Federer R.,Ferrer D.,3,6,8520,4280,6,4,6,4,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.34,3.67,1.29,3.5,1.34,3.9,1.27,3.64
29,Madrid,Mutua Madrid Open,12/05/12,Masters 1000,Outdoor,Clay,Semifinals,3,Berdych T.,Del Potro J.M.,7,11,3990,2655,7,6,7,6,,,,,,,2,0,Completed,2.37,1.57,2.4,1.55,2.38,1.57,2.51,1.61,3,1.36,3,1.61,2.44,1.54
29,Madrid,Mutua Madrid Open,12/05/12,Masters 1000,Outdoor,Clay,Semifinals,3,Federer R.,Tipsarevic J.,3,8,8520,2820,6,2,6,3,,,,,,,2,0,Completed,1.11,6.5,1.12,5.65,1.12,6,1.15,6.54,1.1,6,1.16,7,1.12,6
29,Madrid,Mutua Madrid Open,13/05/12,Masters 1000,Outdoor,Clay,The Final,3,Federer R.,Berdych T.,3,7,8520,3990,3,6,7,5,7,5,,,,,2,1,Completed,1.3,3.5,1.3,3.27,1.3,3.4,1.36,3.55,1.44,2.75,1.44,3.8,1.31,3.4
