ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Stepanek R.,Henman T.,14,26,1530,1120,6,4,1,6,6,3,,,,,2,1,Completed,2,1.72,2.1,1.73,2.15,1.65,1.8,1.8,2.31,1.709
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Davydenko N.,Beck K.,8,45,2000,771,6,4,6,1,,,,,,,2,0,Completed,1.57,2.25,1.67,2.2,1.65,2.15,1.55,2.1,1.714,2.3
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Puerta M.,Mirnyi M.,10,25,1784,1125,7,6,7,6,,,,,,,2,0,Completed,3.39,1.3,3.3,1.33,3.22,1.32,2.7,1.35,3.6,1.357
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Ljubicic I.,Martin A.,12,54,1640,686,6,3,7,6,,,,,,,2,0,Completed,1.12,5.5,1.12,6.25,1.1,6.75,1.1,5,1.146,7.14
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Nadal R.,Hanescu V.,2,42,4475,827,7,6,6,3,,,,,,,2,0,Completed,1.1,6.5,1.15,5.5,1.15,5.2,1.1,5,1.154,6.9
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Karlovic I.,Roddick A.,86,3,470,3115,3,6,7,6,7,6,,,,,2,1,Completed,3.5,1.28,3.5,1.3,3.1,1.35,3.2,1.25,3.45,1.364
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Robredo T.,Moya C.,17,33,1420,1005,6,4,3,6,6,1,,,,,2,1,Completed,2.1,1.66,2.1,1.73,2.05,1.75,1.95,1.65,2.31,1.709
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Nalbandian D.,Johansson T.,9,15,1905,1505,6,3,7,5,,,,,,,2,0,Completed,1.57,2.25,1.65,2.25,1.7,2.1,1.65,1.95,1.704,2.32
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Stepanek R.,Acasuso J.,14,55,1530,678,7,6,4,6,7,6,,,,,2,1,Completed,1.33,3.25,1.3,3.5,1.25,3.75,1.3,2.9,1.366,3.53
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Ginepri R.,Davydenko N.,21,8,1270,2000,6,3,7,5,,,,,,,2,0,Completed,2,1.72,2.2,1.67,2.3,1.6,2.1,1.55,2.26,1.735
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Karlovic I.,Hrbaty D.,86,22,470,1241,7,6,7,6,,,,,,,2,0,Completed,1.9,1.8,1.9,1.9,1.87,1.87,1.9,1.7,1.901,2.01
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Ljubicic I.,Rochus O.,12,24,1640,1135,6,4,6,4,,,,,,,2,0,Completed,1.25,3.75,1.28,3.65,1.2,4.25,1.3,2.9,1.279,4.28
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Ferrer D.,Puerta M.,18,10,1380,1784,6,7,6,1,6,4,,,,,2,1,Completed,1.61,2.2,1.65,2.25,1.78,1.97,1.6,2,1.746,2.24
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Nadal R.,Robredo T.,2,17,4475,1420,6,2,6,4,,,,,,,2,0,Completed,1.19,4.33,1.24,4,1.2,4.25,1.2,3.6,1.304,3.99
62,Madrid,Madrid Masters,20/10/05,Masters,Indoor,Hard,3rd Round,3,Gonzalez F.,Coria G.,19,7,1360,2110,7,5,6,3,,,,,,,2,0,Completed,2.25,1.57,2.05,1.77,2.1,1.7,2,1.6,2.21,1.763
62,Madrid,Madrid Masters,21/10/05,Masters,Indoor,Hard,Quarterfinals,3,Ginepri R.,Ferrer D.,21,18,1270,1380,6,1,6,4,,,,,,,2,0,Completed,1.39,2.75,1.45,2.7,1.5,2.45,1.45,2.35,1.498,2.81
62,Madrid,Madrid Masters,21/10/05,Masters,Indoor,Hard,Quarterfinals,3,Ljubicic I.,Gonzalez F.,12,19,1640,1360,4,6,7,6,6,4,,,,,2,1,Completed,1.39,2.75,1.4,2.95,1.45,2.6,1.4,2.5,1.413,3.22
62,Madrid,Madrid Masters,21/10/05,Masters,Indoor,Hard,Quarterfinals,3,Nadal R.,Stepanek R.,2,14,4475,1530,7,6,6,4,,,,,,,2,0,Completed,1.11,6,1.13,6,1.15,5.2,1.1,5,1.162,6.56
62,Madrid,Madrid Masters,21/10/05,Masters,Indoor,Hard,Quarterfinals,3,Nalbandian D.,Karlovic I.,9,86,1905,470,6,4,7,6,,,,,,,2,0,Completed,1.5,2.5,1.43,2.85,1.53,2.4,1.35,2.7,1.541,2.75
62,Madrid,Madrid Masters,22/10/05,Masters,Indoor,Hard,Semifinals,3,Nadal R.,Ginepri R.,2,21,4475,1270,7,5,7,6,,,,,,,2,0,Completed,1.28,3.5,1.28,3.65,1.3,3.35,1.3,2.9,1.38,3.43
62,Madrid,Madrid Masters,22/10/05,Masters,Indoor,Hard,Semifinals,3,Ljubicic I.,Nalbandian D.,12,9,1640,1905,6,3,3,6,6,3,,,,,2,1,Completed,1.72,2,1.73,2.1,1.75,2,1.7,1.9,1.893,2.02
62,Madrid,Madrid Masters,23/10/05,Masters,Indoor,Hard,The Final,5,Nadal R.,Ljubicic I.,2,12,4475,1640,3,6,2,6,6,3,6,4,7,6,3,2,Completed,1.33,3.25,1.3,3.5,1.35,3.1,1.4,2.5,1.366,3.53
