ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Martin A.,Niemeyer F.,57,147,7,5,6,4,,,,,,,2,0,Completed,1.615,2.2,1.8,2,1.75,2,1.55,2,1.781,2.12
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Tursunov D.,221,74,6,4,5,7,6,2,,,,,2,1,Completed,1.615,2.2,1.65,2.25,1.5,2.45,1.4,2.3,1.658,2.36
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Levy H.,Vahaly B.,102,122,6,2,5,7,6,3,,,,,2,1,Completed,1.833,1.833,1.67,2.2,1.7,2.1,1.75,1.75,1.725,2.22
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Hanescu V.,Melzer J.,63,73,6,1,6,7,6,3,,,,,2,1,Completed,1.615,2.2,1.65,2.25,1.55,2.35,1.6,1.9,1.585,2.51
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Blake J.,Stepanek R.,39,53,6,2,6,2,,,,,,,2,0,Completed,1.333,3.25,1.4,2.95,1.3,3.35,1.35,2.5,1.357,3.4
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Larose S.,Mantilla F.,228,37,6,0,4,6,7,5,,,,,2,1,Completed,2.5,1.5,2.75,1.45,2.45,1.5,2.5,1.35,2.87,1.465
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Arthurs W.,Browne F.,128,134,6,3,6,2,,,,,,,2,0,Completed,1.444,2.625,1.5,2.6,1.42,2.75,1.3,2.7,1.476,2.85
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Dent T.,Lapentti G.,43,126,1,6,6,4,6,4,,,,,2,1,Completed,1.333,3.25,1.33,3.3,1.35,3.1,1.3,2.7,1.345,3.45
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Nadal R.,Burgsmuller L.,36,76,6,2,6,3,,,,,,,2,0,Completed,1.222,4,1.2,4.55,1.15,4.9,1.2,3.3,1.196,5.1
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Weiner G.,Ulihrach B.,166,137,6,4,4,6,6,4,,,,,2,1,Completed,2.25,1.571,2.15,1.7,2.05,1.75,2.1,1.5,2.15,1.752
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Hernych J.,Davydenko N.,171,54,2,6,6,4,6,1,,,,,2,1,Completed,2.25,1.571,2.15,1.7,2.25,1.6,2.1,1.5,2.14,1.769
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,van Lottum J.,82,93,6,3,3,6,6,2,,,,,2,1,Completed,1.444,2.625,1.55,2.45,1.53,2.4,1.5,2.1,1.543,2.64
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Ljubicic I.,47,38,6,3,6,3,,,,,,,2,0,Completed,1.833,1.833,1.9,1.9,1.85,1.9,1.75,1.75,2.02,1.847
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Dupuis A.,Martin T.,65,60,6,4,7,5,,,,,,,2,0,Completed,2.375,1.533,2.35,1.6,2.35,1.55,2.2,1.45,2.5,1.595
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Sluiter R.,Zabaleta M.,81,41,7,6,7,6,,,,,,,2,0,Completed,2,1.727,1.95,1.85,1.85,1.85,1.9,1.6,2,1.862
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Sanguinetti D.,Santoro F.,112,72,1,6,7,6,6,4,,,,,2,1,Completed,2.25,1.571,2.25,1.65,2.35,1.55,2,1.55,2.52,1.588
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Saretta F.,Kiefer N.,46,40,6,2,7,5,,,,,,,2,0,Completed,3,1.364,2.95,1.4,3.1,1.35,2.7,1.3,3.1,1.408
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Bogomolov A.,Salzenstein J.,115,117,6,2,6,4,,,,,,,2,0,Completed,1.833,1.833,2,1.8,1.85,1.85,1.75,1.75,1.901,1.952
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Labadze I.,Ascione T.,90,107,7,6,6,4,,,,,,,2,0,Completed,,,2.4,1.55,2.6,1.45,2.1,1.5,2.95,1.444
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Arazi H.,Rochus O.,44,59,6,4,6,2,,,,,,,2,0,Completed,1.615,2.2,1.6,2.35,1.6,2.3,1.6,1.9,1.602,2.48
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Escude N.,Verdasco F.,77,66,7,6,5,7,7,6,,,,,2,1,Completed,1.364,3,1.45,2.75,1.42,2.75,1.3,2.7,1.538,2.66
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,1st Round,3,Sargsian S.,Ancic M.,45,85,7,6,2,6,6,1,,,,,2,1,Completed,2,1.727,2,1.8,2.05,1.75,1.85,1.65,2.01,1.855
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,2nd Round,3,Agassi A.,Sanchez D.,5,58,6,2,6,2,,,,,,,2,0,Completed,1.05,8.5,1.08,8,1.1,6.25,1.05,5,1.07,11.75
