ATP;Location;Tournament;Date;Series;Court;Surface;Surface_WinRate_Favorite;Surface_WinRate_Not_Favorite;Surface_Matches_Favorite;Surface_Matches_Not_Favorite;Round;Round_Code;Best of;Player_Favorite;Player_Not_Favorite;WinStreak_Favorite;WinStreak_Not_Favorite;Win_Streak_Diff;Rank_Favorite;Rank_Not_Favorite;Rank_Diff_Signed;Rank_Diff_Abs;Favorite_Wins;GrandSlams_Favorite;GrandSlams_Not_Favorite;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,6666666666666666;0,4375;3;16;1st Round;1;5;berrettini m.;andujar p.;0;0;0;31,0;93,0;-62,0;62,0;1;0;0;berrettini m.;andujar p.;31,0;93,0;6,0;7,0;6,0;4,0;6,0;4,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;1,2;4,5;;;;;1,19;5,42;1320,0;602,0;;;;;;;1,22;5,42;1,18;4,81
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,5;0,3333333333333333;28;15;1st Round;1;5;kohlschreiber p.;haase r.;0;0;0;54,0;67,0;-13,0;13,0;1;0;0;kohlschreiber p.;haase r.;54,0;67,0;6,0;4,0;6,0;4,0;6,0;7,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;1,22;4,33;;;;;1,25;4,42;895,0;781,0;;;;;;;1,26;4,42;1,24;4,1
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,0;0,6923076923076923;2;13;1st Round;1;5;djere l.;ramos-vinolas a.;0;0;0;32,0;87,0;-55,0;55,0;1;0;0;djere l.;ramos-vinolas a.;32,0;87,0;6,0;3,0;6,0;2,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;1,72;2,1;;;;;1,77;2,18;1314,0;640,0;;;;;;;1,78;2,18;1,74;2,11
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,6153846153846154;0,5;13;2;1st Round;1;5;schwartzman d.;fucsovics m.;0;0;0;20,0;50,0;-30,0;30,0;1;0;0;schwartzman d.;fucsovics m.;20,0;50,0;6,0;3,0;3,0;6,0;7,0;6,0;2,0;6,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;1,28;3,75;;;;;1,38;3,36;1755,0;965,0;;;;;;;1,38;3,76;1,32;3,41
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,8125;0,0;80;0;1st Round;1;5;federer r.;sonego l.;0;0;0;3,0;74,0;-71,0;71,0;1;20;0;federer r.;sonego l.;3,0;74,0;6,0;2,0;6,0;4,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;1,11;6,5;;;;;1,11;8,01;5950,0;732,0;;;;;;;1,15;8,01;1,11;6,69
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,55;0,4;20;10;1st Round;1;5;mayer l.;vesely j.;0;0;0;68,0;105,0;-37,0;37,0;1;0;0;mayer l.;vesely j.;68,0;105,0;7,0;6,0;6,0;3,0;6,0;0,0;;;;;3,0;0,0;Completed;;;;;;;;;1,66;2,2;;;;;1,66;2,37;770,0;546,0;;;;;;;1,7;2,47;1,63;2,29
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,7142857142857143;0,2727272727272727;7;22;1st Round;1;5;cecchinato m.;mahut n.;0;0;0;19,0;252,0;-233,0;233,0;0;0;0;mahut n.;cecchinato m.;252,0;19,0;2,0;6,0;6,0;7,0;6,0;4,0;6,0;2,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;8,0;1,08;;;;;8,18;1,11;182,0;1840,0;;;;;;;9,3;1,13;7,62;1,09
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,0;0,0;0;0;1st Round;1;5;humbert u.;popyrin a.;0;0;0;61,0;109,0;-48,0;48,0;0;0;0;popyrin a.;humbert u.;109,0;61,0;3,0;6,0;6,0;3,0;7,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;2,0;1,8;;;;;2,12;1,81;520,0;827,0;;;;;;;2,18;1,85;2,04;1,78
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,6666666666666666;0,3333333333333333;36;3;1st Round;1;5;cilic m.;fabbiano t.;0;0;0;13,0;96,0;-83,0;83,0;1;1;0;cilic m.;fabbiano t.;13,0;96,0;6,0;3,0;7,0;5,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;1,08;8,0;;;;;1,08;10,62;2710,0;592,0;;;;;;;1,11;10,62;1,08;8,01
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,4666666666666667;0,5;15;24;1st Round;1;5;dimitrov g.;tipsarevic j.;0;0;0;46,0;303,0;-257,0;257,0;1;0;0;dimitrov g.;tipsarevic j.;46,0;303,0;6,0;3,0;6,0;0,0;3,0;6,0;6,0;7,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;1,16;5,0;;;;;1,2;5,21;997,0;115,0;;;;;;;1,2;5,5;1,18;5,0
