ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
61;Madrid;Madrid Masters;20/10/2007;Masters;Indoor;Hard;Semifinals;3;Federer R.;Kiefer N.;1;112;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,02;13,0;1,03;11,0;;;;;;;;;1,05;8,5;1,05;16,0;7355,0;370,0;1,05;9,5;;;;;;;;
61;Madrid;Madrid Masters;21/10/2007;Masters;Indoor;Hard;The Final;3;Nalbandian D.;Federer R.;25;1;1,0;6,0;6,0;3,0;6,0;3,0;;;;;2,0;1,0;Completed;6,0;1,12;5,5;1,14;;;;;;;;;5,2;1,15;6,65;1,16;1160,0;7355,0;5,2;1,15;;;;;;;;
60;Madrid;Madrid Masters;12/10/2008;Masters;Indoor;Hard;1st Round;3;Stepanek R.;Monaco J.;30;44;6,0;1,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,3;3,4;;;;;;;;;;;1,4;3,0;;;1065,0;810,0;1,3;3,4;1,3;3,4;;;;;;
60;Madrid;Madrid Masters;12/10/2008;Masters;Indoor;Hard;1st Round;3;Gulbis E.;Kiefer N.;54;27;5,0;7,0;6,0;4,0;7,0;5,0;;;;;2,0;1,0;Completed;1,53;2,37;;;;;;;;;;;1,6;2,4;;;719,0;1120,0;1,57;2,34;1,533;2,375;;;;;;
60;Madrid;Madrid Masters;13/10/2008;Masters;Indoor;Hard;1st Round;3;Fish M.;Darcis S.;25;59;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,53;2,37;;;;;;;;;;;1,65;2,25;1,676;2,38;1145,0;694,0;1,57;2,34;1,533;2,375;;;;;;
60;Madrid;Madrid Masters;13/10/2008;Masters;Indoor;Hard;1st Round;3;Bolelli S.;Almagro N.;43;17;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;2,1;1,66;;;;;;;;;;;2,05;1,78;2,07;1,855;810,0;1305,0;2,0;1,77;2,1;1,667;;;;;;
60;Madrid;Madrid Masters;13/10/2008;Masters;Indoor;Hard;1st Round;3;Simon G.;Andreev I.;16;20;4,0;6,0;6,0;1,0;7,0;6,0;;;;;2,0;1,0;Completed;1,66;2,1;;;;;;;;;;;1,65;2,2;1,833;2,1;1390,0;1240,0;1,73;2,06;1,833;1,833;;;;;;
60;Madrid;Madrid Masters;13/10/2008;Masters;Indoor;Hard;1st Round;3;Cilic M.;Rochus O.;24;110;6,0;3,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,33;3,25;;;;;;;;;;;1,36;3,17;1,415;3,21;1170,0;442,0;1,42;2,78;1,364;3,0;;;;;;
60;Madrid;Madrid Masters;13/10/2008;Masters;Indoor;Hard;1st Round;3;Robredo T.;Seppi A.;19;36;7,0;6,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,36;3,0;;;;;;;;;;;1,4;3,0;1,418;3,19;1255,0;975,0;1,38;2,95;1,4;2,75;;;;;;
60;Madrid;Madrid Masters;13/10/2008;Masters;Indoor;Hard;1st Round;3;Berdych T.;Schuettler R.;22;35;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,16;4,5;;;;;;;;;;;1,22;4,33;1,223;5,09;1205,0;1014,0;1,18;4,6;1,2;4,333;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Granollers M.;Mathieu P.H.;58;29;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;4,33;1,2;;;;;;;;;;;3,95;1,25;4,0;1,303;696,0;1070,0;4,2;1,21;3,75;1,25;;;;;;
