ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;EXW;EXL;LBW;LBL;SJW;SJL;UBW;UBL;PSW;PSL;MaxW;MaxL;AvgW;AvgL
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Monfils G.;Hewitt L.;14;23;2285;1555;4,0;6,0;6,0;4,0;6,0;2,0;;;;;2,0;1,0;Completed;1,44;2,62;1,48;2,53;1,5;2,5;1,53;2,5;1,5;2,52;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Berdych T.;Safin M.;20;86;1740;600;3,0;6,0;6,0;4,0;6,0;4,0;;;;;2,0;1,0;Completed;1,33;3,25;1,35;3,1;1,333;3,25;1,33;3,2;1,35;3,1;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Robredo T.;Mayer F.;15;79;2090;636;4,0;6,0;7,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;1,33;3,25;1,35;3,05;1,333;3,25;1,36;2,88;1,33;3,2;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Lopez F.;Ferrer D.;41;19;1005;1770;4,0;6,0;7,0;5,0;6,0;1,0;;;;;2,0;1,0;Completed;3,25;1,33;3,1;1,35;3,25;1,333;2,63;1,44;3,0;1,37;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Soderling R.;Almagro N.;11;29;3125;1225;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,12;5,5;1,15;5,2;1,12;5,5;1,13;6,0;1,15;5,2;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Melzer J.;Del Potro J.M.;43;5;985;6555;7,0;5,0;2,0;1,0;;;;;;;1,0;0,0;Retired;6,0;1,11;5,5;1,13;6,0;1,111;6,0;1,13;5,6;1,13;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Ljubicic I.;Verdasco F.;37;9;1070;3400;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;4,5;1,16;3,89;1,23;4,333;1,2;4,5;1,2;4,1;1,22;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Nadal R.;Blake J.;2;26;8945;1415;6,0;2,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;1,16;4,5;1,23;3,89;1,222;4,0;1,22;3,75;1,23;4,0;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Tsonga J.W.;Zeng S.X.;7;393;4100;96;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,02;12,0;1,02;11,5;1,02;11,0;1,03;10,0;1,03;12,0;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Simon G.;Troicki V.;10;31;3285;1170;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,33;3,25;1,35;3,1;1,333;3,25;1,33;3,2;1,33;3,2;;;;;;
56;Shanghai;Shanghai Masters;14/10/2009;Masters 1000;Outdoor;Hard;2nd Round;3;Djokovic N.;Fognini F.;4;66;7740;720;6,0;3,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,03;11,0;1,04;9,25;1,05;8,5;1,05;9,0;1,03;12,0;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Davydenko N.;Gonzalez F.;8;12;3710;2700;6,0;3,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,44;2,62;1,5;2,45;1,5;2,5;1,53;2,5;1,5;2,55;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Stepanek R.;Wawrinka S.;16;22;2055;1650;3,0;6,0;7,0;6,0;4,0;2,0;;;;;1,0;1,0;Retired;1,66;2,1;1,65;2,2;1,72;2,0;1,73;2,1;1,62;2,25;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Soderling R.;Tsonga J.W.;11;7;3125;4100;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,83;1,83;1,95;1,8;1,9;1,8;1,9;1,9;1,93;1,84;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Ljubicic I.;Monfils G.;37;14;1070;2285;6,0;2,0;3,0;0,0;;;;;;;1,0;0,0;Retired;3,4;1,3;3,35;1,3;3,25;1,333;3,25;1,3;3,2;1,33;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Lopez F.;Melzer J.;41;43;1005;985;5,0;7,0;7,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;2,2;1,61;2,15;1,65;2,1;1,667;2,2;1,67;2,34;1,57;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Djokovic N.;Schuettler R.;4;99;7740;545;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,02;12,0;1,04;9,25;1,04;9,0;1,06;8,5;1,03;12,0;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Simon G.;Berdych T.;10;20;3285;1740;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,53;2,37;1,53;2,45;1,571;2,25;1,57;2,38;1,51;2,5;;;;;;
56;Shanghai;Shanghai Masters;15/10/2009;Masters 1000;Outdoor;Hard;3rd Round;3;Nadal R.;Robredo T.;2;15;8945;2090;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,06;8,0;1,07;7,19;1,083;7,0;1,1;7,0;1,09;7,0;;;;;;
56;Shanghai;Shanghai Masters;16/10/2009;Masters 1000;Outdoor;Hard;Quarterfinals;3;Davydenko N.;Stepanek R.;8;16;3710;2055;6,0;1,0;4,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,28;3,5;1,35;3,05;1,33;3,25;1,36;2,88;1,34;3,15;;;;;;
56;Shanghai;Shanghai Masters;16/10/2009;Masters 1000;Outdoor;Hard;Quarterfinals;3;Lopez F.;Soderling R.;41;11;1005;3125;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;5,5;1,12;5,5;1,14;4,5;1,16;5,5;1,14;5,3;1,15;;;;;;
56;Shanghai;Shanghai Masters;16/10/2009;Masters 1000;Outdoor;Hard;Quarterfinals;3;Djokovic N.;Simon G.;4;10;7740;3285;6,0;3,0;2,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;1,2;4,33;1,25;3,75;1,2;4,333;1,22;4,0;1,25;3,8;;;;;;
56;Shanghai;Shanghai Masters;16/10/2009;Masters 1000;Outdoor;Hard;Quarterfinals;3;Nadal R.;Ljubicic I.;2;37;8945;1070;3,0;6,0;6,0;3,0;;;;;;;1,0;1,0;Retired;1,06;8,0;1,08;7,0;1,083;7,0;1,07;8,0;1,08;7,25;;;;;;
56;Shanghai;Shanghai Masters;17/10/2009;Masters 1000;Outdoor;Hard;Semifinals;3;Davydenko N.;Djokovic N.;8;4;3710;7740;4,0;6,0;6,0;4,0;7,0;6,0;;;;;2,0;1,0;Completed;3,0;1,36;2,85;1,4;2,75;1,4;2,75;1,44;2,8;1,42;;;;;;
56;Shanghai;Shanghai Masters;17/10/2009;Masters 1000;Outdoor;Hard;Semifinals;3;Nadal R.;Lopez F.;2;41;8945;1005;6,0;1,0;3,0;0,0;;;;;;;1,0;0,0;Retired;1,08;7,0;1,1;6,75;1,111;6,0;1,1;7,0;1,1;6,75;;;;;;
56;Shanghai;Shanghai Masters;18/10/2009;Masters 1000;Outdoor;Hard;The Final;3;Davydenko N.;Nadal R.;8;2;3710;8945;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;2,5;1,53;2,61;1,46;2,5;1,5;1,8;2,0;2,42;1,54;;;;;;
56;Shanghai;Shanghai Masters;10/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Robredo T.;Montanes A.;43;23;1075;1610;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,44;2,62;1,45;2,65;1,5;2,5;1,4;2,75;;;1,43;3,1;1,52;3,1;1,44;2,7
56;Shanghai;Shanghai Masters;10/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Dolgopolov O.;Almagro N.;55;16;897;2210;2,0;6,0;7,0;5,0;7,0;6,0;;;;;2,0;1,0;Completed;2,62;1,44;2,5;1,5;2,38;1,53;;;;;2,88;1,49;2,88;1,61;2,5;1,5
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Tsonga J.W.;Lopez F.;13;22;2390;1685;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,66;2,1;1,86;1,88;1,73;2,0;1,67;2,1;;;1,77;2,2;1,86;2,2;1,74;2,02
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Garcia-Lopez G.;Schwank E.;35;56;1175;868;6,0;7,0;6,0;2,0;6,0;4,0;;;;;2,0;1,0;Completed;1,25;3,75;1,3;3,3;1,29;3,5;1,25;3,5;;;1,29;4,11;1,33;4,11;1,27;3,6
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Melzer J.;Yang T.H.;12;279;2560;164;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,05;9,0;1,08;7,0;1,05;8,5;1,07;7,0;;;1,06;12,5;1,1;12,5;1,06;8,59
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Chardy J.;Baghdatis M.;59;18;820;2030;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,9;1,8;1,95;1,8;2,0;1,73;1,91;1,8;;;2,09;1,85;2,09;1,93;1,95;1,79
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;De Bakker T.;Verdasco F.;47;9;980;3330;7,0;6,0;7,0;5,0;;;;;;;2,0;0,0;Completed;3,0;1,36;2,8;1,4;2,75;1,4;2,75;1,4;;;3,3;1,4;3,35;1,45;2,88;1,39
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Zverev M.;Stakhovsky S.;118;34;457;1209;6,0;1,0;4,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;1,9;1,8;1,87;1,87;2,0;1,73;1,83;1,83;;;2,07;1,87;2,07;1,9;1,92;1,82
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Wawrinka S.;Simon G.;21;39;1765;1100;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,9;1,8;1,95;1,8;1,83;1,83;1,83;1,83;;;1,98;1,94;2,0;27,0;1,88;2,28
56;Shanghai;Shanghai Masters;11/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Monaco J.;Serra F.;41;70;1085;706;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;2,0;1,72;1,95;1,8;1,83;1,83;1,83;1,83;;;2,11;1,83;2,13;1,9;1,94;1,79
56;Shanghai;Shanghai Masters;12/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Gimeno-Traver D.;Istomin D.;60;44;813;1051;3,0;6,0;6,0;3,0;6,0;3,0;;;;;2,0;1,0;Completed;2,5;1,5;;;2,5;1,5;2,5;1,5;;;2,65;1,56;2,74;1,57;2,5;1,5
56;Shanghai;Shanghai Masters;12/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Isner J.;Kubot L.;20;65;1850;745;4,0;6,0;7,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;1,08;7,0;1,11;6,0;1,14;5,0;1,14;5,0;;;1,14;7,06;1,14;7,4;1,12;6,05
56;Shanghai;Shanghai Masters;12/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Bai Y.;Stepanek R.;465;30;74;1325;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;9,0;1,05;6,0;1,1;8,5;1,05;7,0;1,07;;;12,0;1,06;13,75;1,1;8,76;1,06
56;Shanghai;Shanghai Masters;12/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Roddick A.;Kohlschreiber P.;11;32;3225;1215;6,0;3,0;2,0;1,0;;;;;;;1,0;0,0;Retired;1,38;2,87;1,4;2,8;1,4;2,75;1,4;2,75;;;1,5;2,83;1,5;2,91;1,42;2,76
56;Shanghai;Shanghai Masters;12/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Tipsarevic J.;Golubev A.;37;33;1130;1210;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,61;2,2;1,65;2,15;1,67;2,1;1,67;2,1;;;1,72;2,28;1,77;2,3;1,66;2,17
56;Shanghai;Shanghai Masters;12/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Ljubicic I.;Zhang Z.;17;308;2190;141;5,0;7,0;6,0;3,0;6,0;4,0;;;;;2,0;1,0;Completed;1,06;8,0;1,1;6,0;1,08;7,0;1,07;7,0;;;1,08;10,5;1,1;10,5;1,07;8,03
56;Shanghai;Shanghai Masters;12/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Ferrer D.;Llodra M.;10;28;3280;1345;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,25;3,75;1,28;3,49;1,33;3,25;1,29;3,25;;;1,27;4,26;1,35;4,3;1,27;3,61
56;Shanghai;Shanghai Masters;13/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Bellucci T.;Ilhan M.;25;103;1455;535;6,0;1,0;2,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;1,57;2,25;1,55;2,35;1,57;2,25;1,62;2,2;;;1,69;2,33;1,73;2,38;1,63;2,23
56;Shanghai;Shanghai Masters;13/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Mayer F.;Anderson K.;48;64;966;755;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;2,2;1,61;2,25;1,6;2,25;1,57;2,2;1,62;;;2,25;1,75;2,38;1,75;2,2;1,64
56;Shanghai;Shanghai Masters;13/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Gasquet R.;Gulbis E.;31;26;1305;1450;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,57;2,25;1,65;2,15;1,73;2,0;1,73;2,0;;;1,7;2,31;1,77;2,35;1,67;2,15
56;Shanghai;Shanghai Masters;13/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Querrey S.;Berrer M.;24;50;1545;950;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,36;3,0;1,4;2,8;1,4;2,75;1,44;2,63;;;1,4;3,28;1,45;3,38;1,39;2,88
56;Shanghai;Shanghai Masters;13/10/2010;Masters 1000;Outdoor;Hard;1st Round;3;Monfils G.;Becker B.;14;61;2370;807;6,0;1,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,28;3,5;1,3;3,3;1,3;3,4;1,25;3,5;;;1,33;3,75;1,36;3,95;1,3;3,38
