ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
46,0;Toronto;Rogers Masters;12/08/2010;Masters 1000;Outdoor;Hard;3rd Round;3,0;Chardy J.;Davydenko N.;72,0;6,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;3,0;1,36;;;;;;;;;2,7;1,43;3,1;1,43;695,0;4285,0;;;2,63;1,44;2,5;1,5;3,15;1,5;2,79;1,41
46,0;Toronto;Rogers Masters;12/08/2010;Masters 1000;Outdoor;Hard;3rd Round;3,0;Kohlschreiber P.;Lu Y.H.;37,0;44,0;6,0;7,0;7,0;5,0;6,0;0,0;;;;;2,0;1,0;Completed;1,44;2,62;;;;;;;;;1,45;2,6;1,47;2,93;1100,0;965,0;;;1,4;2,75;1,44;2,63;1,5;3,1;1,44;2,7
46,0;Toronto;Rogers Masters;12/08/2010;Masters 1000;Outdoor;Hard;3rd Round;3,0;Murray A.;Monfils G.;4,0;18,0;6,0;2,0;0,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,22;4,0;;;;;;;;;1,25;3,75;1,25;4,55;5305,0;2025,0;;;1,2;4,33;1,2;4,0;1,28;4,8;1,23;4,07
46,0;Toronto;Rogers Masters;12/08/2010;Masters 1000;Outdoor;Hard;3rd Round;3,0;Djokovic N.;Hanescu V.;2,0;54,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,16;4,5;;;;;;;;;1,22;4,0;1,22;5,08;6905,0;870,0;;;1,14;5,0;1,2;4,0;1,22;5,5;1,18;4,68
46,0;Toronto;Rogers Masters;12/08/2010;Masters 1000;Outdoor;Hard;3rd Round;3,0;Nadal R.;Anderson K.;1,0;87,0;6,0;2,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,08;7,0;;;;;;;;;1,07;7,5;1,08;10,75;10745,0;607,0;;;1,06;8,0;1,07;7,0;1,08;11,5;1,06;8,44
46,0;Toronto;Rogers Masters;13/08/2010;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Murray A.;Nalbandian D.;4,0;45,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,9;1,8;;;;;;;;;2,0;1,75;1,97;1,95;5305,0;965,0;;;2,0;1,73;2,0;1,8;2,1;1,95;1,96;1,8
46,0;Toronto;Rogers Masters;13/08/2010;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Nadal R.;Kohlschreiber P.;1,0;37,0;3,0;6,0;6,0;3,0;6,0;4,0;;;;;2,0;1,0;Completed;1,05;9,0;;;;;;;;;1,07;7,5;1,07;11,25;10745,0;1100,0;;;1,05;8,5;1,05;9,0;1,08;12,5;1,06;8,5
46,0;Toronto;Rogers Masters;13/08/2010;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Federer R.;Berdych T.;3,0;7,0;6,0;3,0;5,0;7,0;7,0;6,0;;;;;2,0;1,0;Completed;1,38;2,87;;;;;;;;;1,5;2,5;1,49;2,89;6795,0;3780,0;;;1,4;2,75;1,36;3,0;1,5;3,0;1,42;2,8
46,0;Toronto;Rogers Masters;14/08/2010;Masters 1000;Outdoor;Hard;Quarterfinals;3,0;Djokovic N.;Chardy J.;2,0;72,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,2;4,33;;;;;;;;;1,25;3,75;1,23;4,91;6905,0;695,0;;;1,25;3,75;1,25;3,75;1,26;4,91;1,23;4,12
46,0;Toronto;Rogers Masters;14/08/2010;Masters 1000;Outdoor;Hard;Semifinals;3,0;Murray A.;Nadal R.;4,0;1,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;2,25;1,61;;;;;;;;;2,25;1,6;2,32;1,7;5305,0;10745,0;;;2,2;1,62;2,2;1,67;2,45;1,7;2,24;1,63
46,0;Toronto;Rogers Masters;15/08/2010;Masters 1000;Outdoor;Hard;Semifinals;3,0;Federer R.;Djokovic N.;3,0;2,0;6,0;1,0;3,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;1,61;2,25;;;;;;;;;1,65;2,15;1,66;2,39;6795,0;6905,0;;;1,67;2,1;1,62;2,25;2,5;1,73;2,23;1,63
46,0;Toronto;Rogers Masters;15/08/2010;Masters 1000;Outdoor;Hard;The Final;3,0;Murray A.;Federer R.;4,0;3,0;7,0;5,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,8;2,0;;;;;;;;;1,8;1,95;1,84;2,1;5305,0;6795,0;;;1,73;2,0;1,8;2,0;1,87;2,11;1,8;1,98
48,0;Toronto;Rogers Masters;06/08/2012;Masters 1000;Outdoor;Hard;1st Round;3,0;Chardy J.;Young D.;47,0;84,0;3,0;6,0;7,0;6,0;6,0;0,0;;;;;2,0;1,0;Completed;1,33;3,25;;;;;;;;;1,35;3,0;1,42;3,14;924,0;610,0;;;1,33;3,25;1,33;3,0;1,42;3,25;1,36;3,02
48,0;Toronto;Rogers Masters;06/08/2012;Masters 1000;Outdoor;Hard;1st Round;3,0;Troicki V.;Bogomolov A.;33,0;58,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,28;3,5;;;;;;;;;1,3;3,3;1,4;3,26;1220,0;785,0;;;1,29;3,5;1,29;3,25;1,4;3,5;1,33;3,23
48,0;Toronto;Rogers Masters;06/08/2012;Masters 1000;Outdoor;Hard;1st Round;3,0;Tomic B.;Berrer M.;49,0;131,0;6,0;3,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,33;3,25;;;;;;;;;1,35;3,0;1,39;3,26;880,0;427,0;;;1,33;3,25;1,29;3,25;1,4;3,35;1,35;3,11
48,0;Toronto;Rogers Masters;06/08/2012;Masters 1000;Outdoor;Hard;1st Round;3,0;Andujar P.;Lacko L.;44,0;56,0;6,0;2,0;4,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;3,5;1,28;;;;;;;;;3,15;1,32;3,49;1,35;940,0;813,0;;;3,4;1,3;3,25;1,29;3,5;1,37;3,2;1,33
48,0;Toronto;Rogers Masters;06/08/2012;Masters 1000;Outdoor;Hard;1st Round;3,0;Ebden M.;Polansky P.;80,0;157,0;0,0;6,0;6,0;4,0;6,0;3,0;;;;;2,0;1,0;Completed;1,53;2,37;;;;;;;;;1,55;2,35;1,5;2,8;621,0;338,0;;;1,44;2,62;1,5;2,5;1,61;2,85;1,5;2,52
