ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Clavet F.;Lapentti N.;63,0;8,0;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Santoro F.;Henman T.;28,0;10,0;7,0;6,0;4,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Mantilla F.;Safin M.;55,0;14,0;7,0;5,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Kuerten G.;Philippoussis M.;6,0;24,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Ferrero J.C.;Arazi H.;18,0;29,0;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Medvedev A.;Vicente F.;25,0;30,0;6,0;2,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Enqvist T.;Chang M.;9,0;32,0;2,0;6,0;6,0;4,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Norman M.;Moya C.;4,0;36,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Hrbaty D.;Squillari F.;17,0;37,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Corretja A.;Novak J.;11,0;40,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
