ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Medvedev A.,7,32,6,3,5,7,6,7,6,4,8,6,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Courier J.,34,36,6,7,6,3,7,5,6,1,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Chang M.,62,38,6,4,6,4,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Sargsian S.,30,51,7,6,6,4,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Tieleman L.,Martin A.,89,52,6,2,7,6,6,7,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Black W.,Gambill J.M.,151,57,7,6,6,1,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Vicente F.,Berasategui A.,55,59,6,0,6,2,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Llodra M.,Gaudio G.,263,61,6,3,6,3,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Vinciguerra A.,Gumy H.,99,63,7,6,6,1,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Ilie A.,Tarango J.,46,65,6,3,7,6,4,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,van Lottum J.,54,66,7,6,6,4,,,,,,,2,0,Retired
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Martin T.,Black B.,9,71,5,7,6,7,6,4,6,2,8,6,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Sekulov J.,Ljubicic I.,133,72,7,6,4,6,4,6,7,5,6,0,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Marin J.A.,60,73,6,3,6,3,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Kiefer N.,Canas G.,4,74,4,6,6,3,6,4,6,4,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Novak J.,Hipfl M.,37,75,6,3,4,6,6,3,5,7,6,2,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Schalken S.,Blanco G.,47,77,7,6,6,4,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Bastl G.,53,78,6,3,6,3,4,6,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Stoltenberg J.,76,81,6,7,6,4,6,4,0,6,6,4,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Jonsson F.,Diaz J.,123,84,4,6,4,6,6,2,7,5,6,3,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Knippschild J.,2,85,6,7,6,4,6,1,6,2,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Goldstein P.,17,87,6,2,6,7,7,6,6,4,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Sluiter R.,Gaudenzi A.,166,88,3,6,6,1,3,6,6,3,13,11,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Woodruff C.,Damm M.,56,92,6,3,7,6,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Woodbridge T.,Siemerink J.,204,93,6,4,6,1,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Mirnyi M.,Agenor R.,67,94,6,7,7,6,6,3,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Norman M.,Mamiit C.,11,97,7,5,6,4,3,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Tillstrom M.,Lareau S.,79,103,4,6,6,4,6,2,6,1,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Sampras P.,Arthurs W.,3,105,6,4,7,5,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Alami K.,Manta L.,35,107,6,4,7,6,7,5,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Vacek D.,Stanoytchev O.,44,109,1,6,7,6,7,6,6,2,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Arazi H.,Alonso J.,41,111,6,3,7,6,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Puerta M.,1,112,6,2,6,2,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Woodforde M.,Sanguinetti D.,126,113,6,3,6,4,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Vanek J.,Wessels P.,153,114,6,4,6,3,2,6,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Kroslak J.,Lopez-Moron A.,104,117,6,1,3,6,6,3,7,5,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Pozzi G.,Zib T.,82,118,6,3,7,6,6,7,6,1,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Dupuis A.,Rodriguez M.,98,119,6,4,6,4,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Kulti N.,42,121,6,1,6,2,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Ullyett K.,Tabara M.,182,122,6,1,7,6,4,6,6,1,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Hill M.,Karbacher B.,238,139,6,4,6,2,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Rosset M.,Delgado J.,45,143,7,6,6,3,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Motomura G.,26,148,6,3,6,3,6,2,,,,,3,0,Completed
