ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Popp A.,Agenor R.,114,98,0,6,7,5,7,6,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Portas A.,Zib T.,55,121,6,3,6,4,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Pozzi G.,Novak J.,64,45,6,3,6,4,3,6,6,1,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Prinosil D.,Sargsian S.,84,79,2,6,6,1,6,2,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Rafter P.,Delgado J.,21,143,6,3,7,6,6,1,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Rochus C.,Tillstrom M.,89,62,4,6,7,6,6,2,4,6,6,1,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Rochus O.,Fromberg R.,179,66,4,6,6,3,3,6,7,6,6,4,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Rosset M.,Squillari F.,33,19,7,5,6,3,7,6,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Safin M.,Blanco G.,9,74,7,6,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Sampras P.,Vanek J.,3,80,6,4,6,4,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Santoro F.,Gaudenzi A.,30,91,6,3,6,2,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Schalken S.,Bastl G.,53,73,6,2,6,4,6,2,,,,,3,0,Completed
