ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;WPts;LPts;EXW;EXL;PSW;PSL;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Mello R.;Bester P.;56;978;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;1,1;5,0;;;1,1;6,5;;;648,0;7,0;1,07;7,19;1,132;7,84;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Pavel A.;Rochus C.;38;48;6,0;1,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,45;2,75;;;1,4;2,5;;;1,44;2,62;;;855,0;739,0;1,45;2,6;1,493;2,83;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Ancic M.;Saulnier C.;29;68;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,2;4,55;;;1,2;3,6;;;1,14;5,0;;;1115,0;555,0;1,2;4,25;1,239;4,79;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Gasquet R.;Youzhny M.;18;25;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,55;2,45;;;1,5;2,2;;;1,5;2,5;;;1425,0;1245,0;1,5;2,45;1,595;2,58;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Robredo T.;Kim K.;22;77;7,0;5,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,55;2,45;;;1,4;2,5;;;1,53;2,37;;;1290,0;511,0;1,45;2,6;1,546;2,73;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Rochus O.;Mahut N.;35;172;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,37;3,1;;;1,4;2,5;;;1,36;3,0;;;983,0;240,0;1,37;2,92;1,407;3,26;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Hrbaty D.;Henman T.;26;13;3,0;6,0;7,0;5,0;6,0;1,0;;;;;2,0;1,0;Completed;2,3;1,62;;;2,1;1,55;;;2,25;1,57;;;1241,0;1510,0;2,15;1,65;2,52;1,617;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Beck K.;Okun N.;44;164;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,48;2,65;;;1,35;2,7;;;1,39;2,75;;;812,0;255,0;1,4;2,85;1,546;2,68;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Bjorkman J.;Spadea V.;129;42;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;2,15;1,7;;;2,0;1,6;;;2,25;1,57;;;348,0;835,0;2,35;1,55;2,65;1,556;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Mirnyi M.;Gonzalez F.;30;19;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;2,15;1,7;;;2,1;1,55;;;2,2;1,61;;;1105,0;1385,0;2,35;1,55;2,42;1,658;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Nalbandian D.;Chela J.I.;12;52;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,67;2,2;;;1,45;2,35;;;1,53;2,37;;;1650,0;675,0;1,65;2,15;1,645;2,45;;;;;;;;;;
48;Montreal;Rogers Cup;08/08/05;Masters;Outdoor;Hard;1st Round;3;Gaudio G.;Sanguinetti D.;8;54;1,0;6,0;7,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;1,48;2,65;;;1,35;2,7;;;1,36;3,0;;;1875,0;654,0;1,4;2,85;1,45;3,02;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Rusedski G.;Wawrinka S.;40;55;6,0;7,0;6,0;2,0;6,0;3,0;;;;;2,0;1,0;Completed;1,57;2,4;;;1,45;2,35;;;1,44;2,62;;;843,0;652,0;1,55;2,35;1,538;2,74;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Agassi A.;Martin A.;7;61;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,08;8,0;;;1,05;6,0;;;1,05;9,0;;;1915,0;637,0;1,07;7,19;1,055;15,5;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Puerta M.;Horna L.;11;62;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;4,0;1,25;;;2,7;1,35;;;3,75;1,25;;;1652,0;613,0;3,74;1,25;4,6;1,25;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Davydenko N.;Niemeyer F.;6;194;6,0;2,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,16;5,25;;;1,15;4,0;;;1,12;5,5;;;2115,0;213,0;1,15;5,2;1,169;6,3;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Kiefer N.;Massu N.;39;31;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,53;2,5;;;1,55;2,1;;;1,44;2,62;;;845,0;1095,0;1,5;2,45;1,524;2,81;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;El Aynaoui Y.;Lopez F.;423;24;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;10,0;1,05;;;6,0;1,05;;;8,0;1,06;;;64,0;1250,0;7,79;1,06;12,42;1,069;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Serra F.;Hewitt L.;90;3;4,0;3,0;;;;;;;;;0,0;0,0;Retired;8,0;1,08;;;5,0;1,1;;;8,5;1,05;;;468,0;3455,0;7,79;1,06;10,0;1,083;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Soderling R.;Stepanek R.;45;17;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;2,1;1,73;;;1,95;1,65;;;2,2;1,61;;;775,0;1435,0;1,95;1,8;2,4;1,667;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Dent T.;Ljubicic I.;21;16;1,0;6,0;7,0;5,0;6,0;3,0;;;;;2,0;1,0;Completed;2,05;1,77;;;1,8;1,8;;;2,0;1,72;;;1345,0;1470,0;1,87;1,87;2,18;1,781;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Berdych T.;Melzer J.;33;37;6,0;1,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,67;2,2;;;1,75;1,85;;;1,61;2,2;;;1016,0;880,0;1,51;2,46;1,676;2,38;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Novak J.;Andreev I.;23;50;6,0;4,0;6,0;7,0;6,0;1,0;;;;;2,0;1,0;Completed;1,65;2,25;;;1,6;2,0;;;1,66;2,1;;;1275,0;729,0;1,7;2,1;1,704;2,32;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Nadal R.;Moya C.;2;32;6,0;3,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;1,2;4,55;;;1,2;3,6;;;1,16;4,5;;;4030,0;1075,0;1,2;4,25;1,21;5,36;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Ferrer D.;Santoro F.;20;80;3,0;6,0;6,0;1,0;6,0;2,0;;;;;2,0;1,0;Completed;1,67;2,2;;;1,6;2,0;;;1,61;2,2;;;1365,0;501,0;1,7;2,1;1,84;2,09;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Johansson T.;Karlovic I.;15;82;6,0;1,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,62;2,3;;;1,5;2,2;;;1,61;2,2;;;1470,0;485,0;1,55;2,35;1,649;2,44;;;;;;;;;;
48;Montreal;Rogers Cup;09/08/05;Masters;Outdoor;Hard;1st Round;3;Grosjean S.;Srichaphan P.;34;41;7,0;6,0;3,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;1,85;1,95;;;1,7;1,9;;;1,83;1,83;;;985,0;840,0;1,75;2,05;1,885;2,03;;;;;;;;;;
