ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Kuerten G.,Agenor R.,1,178,4,6,6,4,6,3,,,,,2,1,Completed,1.04,8,1.06,5.65,1.05,5,1.063,8
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Lapentti N.,Bjorkman J.,23,46,6,2,5,7,6,4,,,,,2,1,Completed,1.8,1.9,1.72,1.85,1.7,1.8,1.727,2
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Agassi A.,73,2,6,2,6,4,,,,,,,2,0,Completed,5.5,1.11,4.8,1.12,4.5,1.1,6.5,1.1
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Martin A.,Chang M.,41,63,6,4,6,3,,,,,,,2,0,Completed,2.45,1.48,2.45,1.4,2.5,1.35,2.375,1.533
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Martin T.,Kafelnikov Y.,33,6,3,6,7,6,6,4,,,,,2,1,Completed,2.3,1.53,2.35,1.46,2.3,1.4,2.5,1.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Niemeyer F.,51,261,6,3,2,6,6,1,,,,,2,1,Completed,1.18,4.25,1.22,3.4,1.15,3.8,1.167,4.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Moya C.,Rusedski G.,16,36,6,3,4,6,6,4,,,,,2,1,Completed,2.3,1.55,2.3,1.45,2.2,1.45,2.375,1.533
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Norman M.,Ilie A.,22,83,6,4,3,6,6,3,,,,,2,1,Completed,1.33,3,1.3,2.8,1.3,2.7,1.3,3.2
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Malisse X.,43,42,7,6,2,6,6,3,,,,,2,1,Completed,2.8,1.38,2.3,1.45,2.2,1.45,2.5,1.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Rafter P.,Levy H.,9,37,6,7,6,3,6,3,,,,,2,1,Completed,1.28,3.25,1.25,3.15,1.25,3,1.286,3.25
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Roddick A.,Lee H.T.,35,65,6,3,6,2,,,,,,,2,0,Completed,1.2,4,1.2,3.4,1.15,3.8,1.2,4
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Portas A.,25,20,6,4,7,6,,,,,,,2,0,Completed,1.28,3.3,1.35,2.6,1.35,2.5,1.4,2.75
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Ulihrach B.,Lee M.,40,107,3,6,6,4,6,1,,,,,2,1,Completed,1.45,2.5,1.45,2.3,1.4,2.3,1.444,2.625
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Vicente F.,Squillari F.,55,39,6,7,6,2,6,3,,,,,2,1,Completed,2.4,1.5,2,1.6,2,1.55,2.2,1.615
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,1st Round,3,Vinciguerra A.,Ferreira W.,45,18,7,6,6,2,,,,,,,2,0,Completed,1.9,1.8,1.87,1.72,1.8,1.7,2,1.727
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Arazi H.,Hewitt L.,34,5,6,1,6,4,,,,,,,2,0,Completed,4,1.2,4.75,1.1,3.8,1.15,4.333,1.182
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Clement A.,Mirnyi M.,12,51,6,1,6,2,,,,,,,2,0,Completed,1.5,2.4,1.65,1.95,1.6,1.9,1.571,2.25
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Costa A.,Henman T.,44,8,7,6,4,6,6,1,,,,,2,1,Completed,4.6,1.15,3.45,1.2,3.2,1.2,3.5,1.25
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Escude N.,Black W.,28,141,6,4,6,7,6,3,,,,,2,1,Completed,1.2,4,1.2,3.5,1.2,3.2,1.3,3.2
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Lapentti N.,4,23,6,3,6,3,,,,,,,2,0,Completed,1.5,2.4,1.5,2.1,1.4,2.3,1.5,2.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Gambill J.M.,Behr N.,21,197,6,3,7,6,,,,,,,2,0,Completed,1.08,6.25,1.1,4.75,1.1,4.5,1.125,5.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Golmard J.,Johansson T.,48,15,6,4,6,3,,,,,,,2,0,Completed,2.55,1.45,2.35,1.45,2.3,1.4,2.5,1.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Haas T.,Ljubicic I.,24,73,7,6,6,4,,,,,,,2,0,Completed,1.42,2.6,1.45,2.35,1.5,2.1,1.444,2.625
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Kuerten G.,Gaudio G.,1,58,6,1,6,4,,,,,,,2,0,Completed,1.18,4.25,1.2,3.5,1.2,3.2,1.25,3.5
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Martin A.,Hrbaty D.,41,19,6,7,7,5,6,4,,,,,2,1,Completed,2.05,1.67,2.1,1.6,2,1.55,2,1.727
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Martin T.,Vicente F.,33,55,6,4,1,6,6,2,,,,,2,1,Completed,1.33,3,1.27,3.2,1.2,3.2,1.333,3
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Pavel A.,Clavet F.,43,71,7,5,6,4,,,,,,,2,0,Completed,1.67,2.05,1.6,2.1,1.5,2.1,1.615,2.2
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Rafter P.,Norman M.,9,22,6,1,7,6,,,,,,,2,0,Completed,1.45,2.55,1.45,2.35,1.45,2.2,1.444,2.625
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Moya C.,35,16,6,3,5,7,7,5,,,,,2,1,Completed,1.67,2.05,1.6,2.05,1.55,2,1.667,2.1
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Santoro F.,Kiefer N.,25,26,4,6,6,4,6,3,,,,,2,1,Completed,1.95,1.75,1.7,1.9,1.75,1.75,1.909,1.8
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,2nd Round,3,Ulihrach B.,Vinciguerra A.,40,45,7,6,6,3,,,,,,,2,0,Completed,1.9,1.8,1.77,1.8,1.8,1.7,2,1.727
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Clement A.,Martin A.,12,41,6,3,3,6,6,0,,,,,2,1,Completed,1.38,2.75,1.35,2.7,1.3,2.7,1.4,2.75
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Ferrero J.C.,Gambill J.M.,4,21,2,6,7,6,6,3,,,,,2,1,Completed,1.6,2.2,1.75,1.82,1.75,1.75,1.8,1.909
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Haas T.,Golmard J.,24,48,6,7,6,4,7,6,,,,,2,1,Completed,1.55,2.25,1.5,2.3,1.5,2.1,1.571,2.25
