ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Karlovic I.,15,82,1470,485,6,1,7,5,,,,,,,2,0,Completed,1.61,2.2,1.62,2.3,1.55,2.35,1.5,2.2,1.649,2.44
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Grosjean S.,Srichaphan P.,34,41,985,840,7,6,3,6,6,2,,,,,2,1,Completed,1.83,1.83,1.85,1.95,1.75,2.05,1.7,1.9,1.885,2.03
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Coria G.,27,9,1190,1745,6,3,6,2,,,,,,,2,0,Completed,2.37,1.53,2.45,1.55,2.25,1.6,2.35,1.45,2.65,1.571
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Clement A.,Acasuso J.,101,43,421,813,2,6,6,3,6,3,,,,,2,1,Completed,1.36,3,1.28,3.65,1.35,3.1,1.35,2.7,1.353,3.63
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Dancevic F.,58,173,643,237,6,2,6,2,,,,,,,2,0,Completed,1.16,4.5,1.18,4.85,1.2,4.25,1.15,4,1.227,5
48,Montreal,Rogers Cup,09/08/05,Masters,Outdoor,Hard,1st Round,3,Carlsen K.,Steckley R.,53,583,665,34,5,7,6,4,6,3,,,,,2,1,Completed,1.12,5.5,,,1.13,5.5,1.1,5,1.143,7.3
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,1st Round,3,Mathieu P.H.,Roddick A.,63,5,598,3175,7,5,6,3,,,,,,,2,0,Completed,9,1.04,10,1.05,7.79,1.06,6,1.05,18,1.046
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Ancic M.,Serra F.,29,90,1115,468,6,3,3,6,7,5,,,,,2,1,Completed,1.14,5,1.17,5,1.15,5.2,1.15,4,1.19,5.75
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Kiefer N.,Dent T.,39,21,845,1345,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.9,1.9,1.75,2,1.8,1.8,1.943,1.962
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Rusedski G.,Mirnyi M.,40,30,843,1105,4,6,6,4,7,6,,,,,2,1,Completed,2.25,1.57,2.4,1.57,2.3,1.6,1.9,1.7,2.64,1.575
