ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Henman T.,Tabara M.,8,48,6,4,6,2,,,,,,,2,0,Completed,1.18,4.25,1.15,4,1.2,3.2,1.167,4.5
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,Norman M.,5,23,6,4,6,1,,,,,,,2,0,Completed,1.48,2.45,1.5,2.2,1.45,2.2,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Ivanisevic G.,Clavet F.,19,65,6,3,3,6,7,6,,,,,2,1,Completed,1.85,1.85,1.65,1.95,1.65,1.85,1.85,1.85
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Kafelnikov Y.,Vinciguerra A.,6,43,7,6,6,1,,,,,,,2,0,Completed,1.4,2.7,1.35,2.7,1.35,2.5,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Enqvist T.,26,13,6,4,6,0,,,,,,,2,0,Completed,1.85,1.85,1.8,1.8,1.75,1.75,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Koubek S.,Levy H.,85,66,6,4,6,1,,,,,,,2,0,Completed,,,,,,,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Kuerten G.,Roddick A.,1,27,7,6,6,1,,,,,,,2,0,Completed,1.6,2.2,1.66,1.95,1.65,1.85,1.667,2.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Lee H.T.,Dent T.,63,114,6,4,6,4,,,,,,,2,0,Completed,3,1.33,2.8,1.33,2.7,1.3,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Squillari F.,67,40,6,2,6,0,,,,,,,2,0,Completed,1.65,2.1,1.66,1.9,1.55,2,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Bjorkman J.,44,46,6,3,6,3,,,,,,,2,0,Completed,1.5,2.45,1.5,2.25,1.4,2.3,1.571,2.25
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Martin A.,Russell M.,38,86,4,6,6,3,6,2,,,,,2,1,Completed,1.45,2.5,1.55,2.1,1.55,2,1.571,2.25
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Martin T.,Mamiit C.,29,112,2,6,6,3,6,3,,,,,2,1,Completed,,,,,,,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Costa A.,47,41,6,3,6,4,,,,,,,2,0,Completed,2,1.7,1.85,1.75,1.85,1.65,1.833,1.833
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Moya C.,Mantilla F.,18,73,6,3,6,3,,,,,,,2,0,Completed,1.33,3,1.4,2.5,1.4,2.3,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Novak J.,Morrison J.,42,225,6,4,3,6,6,2,,,,,2,1,Completed,,,,,,,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Johansson T.,21,15,6,3,6,2,,,,,,,2,0,Completed,1.8,1.9,1.8,1.8,1.75,1.75,,
